titel,prijs,locatie,heeft_tuin,heeft_terras,heeft_zonnepanelen,afstand_centrum,buurtveiligheid,staat_pand,bouwjaar,slaapkamers,oppervlakte_slaapkamer_1,oppervlakte_slaapkamer_2,oppervlakte_slaapkamer_3,oppervlakte_slaapkamer_4,oppervlakte_slaapkamer_5,oppervlakte_slaapkamer_6,oppervlakte,bewoonbare_opp,oppervlakte_woonruimte,zolder,oppervlakte_zolder,kelder,oppervlakte_kelder,garage,aantal_garages,aantal_parkeerplaatsen,bemeubeld,oppervlakte_keuken,keukenuitrusting,badkamers,aantal_douchecabines,aantal_baden,aantal_toiletten,type_verwarming,type_glas,lift,toegang_mindervaliden,aantal_gevels,breedte_voorgevel,aantal_verdiepingen,terras,oppervlakte_terras,totale_opp,diepte_perceel,breedte_voorkant_terras,aansluiting_riolering,aansluiting_waterleiding,aansluiting_gasleiding,zwembad,tuin
Huis te koop,80000,7110 Maurage,0,0,0,5.0,7,Te renoveren,None,2,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,199000,5630 Cerfontaine,0,0,0,5.0,7,Normaal,None,5,None,None,None,None,None,None,261.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,165000,7160 Chapelle-lez-Herlaimont,0,0,0,5.0,7,Te renoveren,None,4,None,None,None,None,None,None,80.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Opbrengsteigendom te koop,199900,6150 Anderlues,0,0,0,5.0,7,Normaal,None,2,None,None,None,None,None,None,215.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Verkavelingsgrond te koop,60000,6500 Barbençon,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,1370.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,229000,7100 Haine-Saint-Paul,0,0,0,5.0,7,None,None,3,None,None,None,None,None,None,170.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,825000,1750 Sint-Martens-Lennik,0,0,0,5.0,7,Normaal,1850,6,None,None,None,None,None,None,340.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,230000,1040 Etterbeek,0,0,0,5.0,7,Te renoveren,1909,1,None,None,None,None,None,None,12.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,249000,1000 Brussel,0,0,0,5.0,7,Te renoveren,2008,3,None,None,None,None,None,None,100.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,299000,1080 Sint-Jans-Molenbeek,0,0,0,5.0,7,Te renoveren,1968,3,None,None,None,None,None,None,3.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,139000,6041 Gosselies,0,0,0,5.0,7,Te renoveren,None,2,None,None,None,None,None,None,97.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Fermette te koop,249000,7141 Mont-Sainte-Aldegonde,0,0,0,5.0,7,Normaal,None,3,None,None,None,None,None,None,163.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Appartement te koop,195000,8870 Izegem,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,103.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,598000,8790 Waregem,0,0,0,5.0,7,None,1993,4,None,None,None,None,None,None,260.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,590000,5651 Tarcienne,0,0,0,5.0,7,Normaal,None,5,None,None,None,None,None,None,585.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,229000,8400 Oostende,0,0,0,5.0,7,None,None,3,None,None,None,None,None,None,121.0,121.0,None,Ja,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Grond te koop,155000,2260 Westerlo,0,0,0,5.0,7,None,None,2,None,None,None,None,None,None,588.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Huis te koop,465000,2200 Noorderwijk,0,0,0,5.0,7,Normaal,1990,4,None,None,None,None,None,None,218.0,80.0,None,None,None,None,None,None,2,2,None,None,None,1,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
Villa te koop,1295000,8620 Nieuwpoort,0,0,0,5.0,7,Uitstekend,1956,3,None,None,None,None,None,None,232.0,80.0,None,None,None,None,None,None,2,2,None,None,None,2,None,None,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None
